主题,标题,日期,小红书封面,小红书文案,小红书分享图,小红书链接,飞书文档链接,标签
机器学习 K-means 聚类,学习笔记｜100 天成为AI产品经理 Day21/100,2025/08/21,小红书封面 Day21.png,"🚶 动作：学习K-means的定义、步骤、K值确定、应用场景、优缺点及与KNN的区别。
🤔 思考：K-means是实用的无监督聚类工具， KNN 是有监督分类工具，两者原理相近但功能不同。

1️⃣ 什么是K-means？
和分类/回归算法不同，它是无监督学习（无需提前知道标签），核心是""物以类聚""——按样本相似度分组，用质心（聚类中心）代表类别。

2️⃣ 算法原理（4步走）
• 随机选K个初始质心
• 算所有样本到质心的距离，就近分组
• 每组重新计算质心（均值）
• 重复迭代，直到质心不再变化 ✔️

3️⃣ K值怎么定？
没有标准答案，靠经验+试错。看平均距离变化，找""拐点""（变化放缓的K值）。

4️⃣ 经典应用：用户分层
拿电商举例👇
• 传统按下单次数分层太片面（忽略消费金额等）
• 用RFM模型（最近消费、频率、金额）+K-means更科学
• 最终分成8类用户（如重要价值客户、一般挽留客户等），精准运营

5️⃣ 其他适用场景
• 文本聚类（文章主题分组）
• 售前辅助（客户预判）
• 风险监测（金融异常行为识别）

6️⃣ 优缺点
✅ 优点：简单易实现、效率高、可解释性强
❌ 缺点：受噪声影响大、准确率不及有监督算法

7️⃣ 和KNN的区别
• KNN：有监督分类，K是最近邻样本数
• K-means：无监督聚类，K是聚类数量

💡 小结：K-means适合无标签数据的分组需求，用户分层、内容聚类都能用，是PM数据分析的实用工具~",Day21 K-means聚类算法.png,https://www.xiaohongshu.com/discovery/item/68a7514c000000001c03f9e8?source=webshare&xhsshare=pc_web&xsec_token=ABkkCru-XzGPdeV1PLySeOqJlfu8B4FpZJ19Dxr2m7aIk=&xsec_source=pc_share,【Day21】机器学习——K-means 聚类,
机器学习 支持向量机,学习笔记｜100 天成为AI产品经理 Day20/100,2025/08/20,小红书封面 Day20.png,"🚶 动作：学习SVM，包括其地位、数据来源、特征工程、建模流程、亮点、优缺点及产品经理思考等。
🤔 思考：学习 SVM 的核心思想在于寻找 “最大间隔超平面”。

在分类算法中，SVM 常被称为“天花板级”。即使在深度学习盛行的今天，它依旧是工业界的性能基线。作为 AI 产品经理，理解 SVM 能帮助我们更好地把握业务与算法之间的平衡。

🔎 核心思想
线性可分时：找到能让两类样本间隔最大的直线/超平面，保证分类结果稳定。
线性不可分时：通过 核函数 把数据映射到高维空间，让样本在新空间中线性可分。
关键点：最大化边界距离，保证模型不仅做对，还做得更稳健。

📊 应用案例：以股票市场预测为例
目标：预测未来走势（涨/跌），而非具体价格。
数据来源：历史交易数据（开盘价、收盘价、成交量、换手率等）。
特征工程：构造特征向量，如“今日收盘价/过去 M 天均价”“最高价/最低价”等。
建模流程：
- 准备数据
- 选择核函数（股票预测常用高斯核）
- 训练 & 测试模型
- 输出预测曲线，对比真实走势
常见核函数及其适用场景：
- 线性核（Linear Kernel）：适用于线性可分数据，计算简单高效。
- 多项式核（Polynomial Kernel）：适用于样本呈多项式分布的非线性场景（如特征间存在交叉关系）。
- 高斯核（RBF Kernel）：适用于复杂非线性数据（如样本分布无明显规律），应用最广泛，但需调参（如带宽 σ）。

👉 亮点：SVM 通过少量支持向量就能做出高效决策，适合处理高维金融数据。

⚖️ 优缺点
✅ 优点
兼容线性 & 非线性问题
对小样本 & 高维数据效果佳
能找到全局最优解，避免局部陷阱
❌ 缺点
训练耗时、内存占用大
更适合小样本场景
天生二分类，多分类需组合多个模型

💡 产品经理思考
适用场景：小样本、对精度要求高（金融预测、文本分类等）。
边界认知：大规模、多分类任务需权衡成本，深度学习可能更优。
实践经验：即便最终用其他算法，也要以 SVM 作为基准进行对比。

✨ 一句话总结
 SVM 的核心价值在于“最大化区分类间的边界”。它不是万能的，但在合适的场景里，依旧能发挥不可替代的作用。",Day20 支持向量机 SVM.png,https://www.xiaohongshu.com/discovery/item/68a7507d000000001c03f7bd?source=webshare&xhsshare=pc_web&xsec_token=ABkkCru-XzGPdeV1PLySeOqFG2zyyU9o6qKxHQ5GVZJBg=&xsec_source=pc_share,【Day20】机器学习——支持向量机 SVM,
机器学习 决策树与随机森林,学习笔记｜100 天成为AI产品经理 Day19/100,2025/08/19,小红书封面 Day19.png,"🚶 动作：学习决策树和随机森林的原理、构建、算法以及案例。
🤔 思考：从决策树衍生的算法有很多，如GBDT、XGBoost就是其升级版。

1️⃣ 为什么要学决策树？
作为 AI 产品经理，我们常面对 信用风险预测、用户分群、业务决策解释性 的问题。逻辑回归虽然简单可解释，但它是线性模型，无法处理复杂非线性特征。此时，决策树和随机森林成为更强大的选择。

2️⃣ 决策树：从“租房逻辑”看算法
核心原理：像“租房决策”一样，逐步判断（距离→价格→装修），每个节点是一个特征，每个分支是条件，叶子节点就是决策结果。
构建过程：特征选择→生成决策树→剪枝
- 特征选择：通过信息熵或基尼系数衡量节点纯度
- 生成决策树：逐步划分样本
- 剪枝：去掉无效节点，防止过拟合
常见算法：
- ID3：信息增益，多叉树，易过拟合
- C4.5：信息增益率，支持连续值与剪枝
- CART：二叉树，分类用基尼系数，回归用偏差值
📍 PM 视角：决策树直观、可解释，适合与非技术同事或甲方沟通模型逻辑。

3️⃣ 应用案例：预测用户违约
输入：用户基本信息（性别、年龄、是否有房）+ 历史还款结果
目标变量：是否逾期（1=逾期，0=不逾期）
构建逻辑：根据特征划分样本 → 生成决策树 → 剪枝优化
优点：解释性强，可清晰展示“哪些条件导致违约”
缺点：深度过浅易欠拟合，过深则过拟合；训练大数据时效率低

4️⃣ 随机森林：三个臭皮匠胜过诸葛亮
核心思想：用多棵随机采样的决策树投票/平均，避免单棵树过拟合。
优势：
- 随机采样 → 不易过拟合
- 并行计算 → 适合大规模数据
- 对异常值不敏感
劣势：
- 训练成本更高
- 虽然比单一树更稳健，但模型上限较低
应用场景：
- 金融风控（违约预测）
- 推荐系统（用户分群）
- 医疗、咨询领域（因可解释性强，便于合规与沟通）

5️⃣ 决策树与随机森林
- 决策树：快、可解释性强、适用于中小数据集、过拟合风险高
- 随机森林：慢、可解释性弱、属于用大型数据集、过拟合风险低

📌 一句话总结
决策树让 AI 模型“透明可讲”，随机森林让预测更稳健。作为 AI PM，要在 可解释性、泛化能力与成本 之间找到平衡，让模型既能落地业务，又能赢得信任。","Day19 根叶节点关系.png,Day19 决策树与随机森林思维导图大纲.png",https://www.xiaohongshu.com/discovery/item/68a4b5bf000000001c01384f?source=webshare&xhsshare=pc_web&xsec_token=ABBIw-3ppMQEJrZsv9ygofiRlcmB26_nUxw4Q7veAH9pA=&xsec_source=pc_share,【Day19】 机器学习——决策树与随机森林,
机器学习 线性回归与逻辑回归,学习笔记｜100 天成为AI产品经理 Day18/100,2025/08/18,小红书封面 Day18.png,"🚶 动作：学习线性和逻辑回归算法，包括原理、应用场景、优缺点及 AI 产品经理的实践思路与学习收获。
🤔 思考：回归算法的本质在于预测，线性回归预测“有多少”，逻辑回归预测“会不会”

1️⃣ 为什么要懂回归算法？
作为 AI 产品经理，我们经常要回答两个核心问题：
连续值预测：销量会是多少？广告投放多少才合理？（线性回归）
分类预测：用户会不会买？会不会点击？（逻辑回归）
定义：“回归” 是指通过模型学习输入数据与连续数值输出之间的映射关系，以预测具体的数值结果（如房价、温度等）。

2️⃣ 线性回归：预测“有多少”
核心原理：基于已有数据拟合一条直线（Y=AX+B），用最小化误差的方式找到最优解，从而预测连续性结果。
应用场景：
- 预测销量、库存、房价
- 广告投放收益评估：投入多少广告费，对应多少销售额
- 用户数值型指标预测（如使用时长、消费金额）
优缺点：
 ✅ 简单高效，可解释性强
 ❌ 对数据要求高，预测精度有限，无法处理非线性关系
 
3️⃣ 逻辑回归：预测“会不会”
核心原理：在线性回归的输出基础上，加入 Sigmoid 函数，把任意连续值映射到 0～1 之间，从而输出概率值，用来解决二分类问题。
应用场景：
- 预测用户是否会购买商品
- 预测广告点击率 / 转化率
- 风控场景下识别“好客户” vs “坏客户”
优缺点：
 ✅ 高效、易实现、可解释性强，能减小极端值影响
 ❌ 仍局限于线性分类，复杂非线性问题表现不佳
 
4️⃣ PM 的实践思路
📍 从业务到算法映射
“多少” → 线性回归
“是否” → 逻辑回归
📍 建模前准备
定义目标变量（如“用户是否购买”=1/0）
选择合适特征（如浏览频次、加购行为、地域、时间等）
保证数据标注和样本质量
📍 评估与迭代
回归模型看误差（MSE、方差）
分类模型看准确率、召回率、AUC
定期监控，避免模型衰减

5️⃣ 我的学习收获
算法不是黑盒：线性回归是“量化关系”，逻辑回归是“概率判断”。
PM 要关注的核心：不是公式细节，而是目标变量、数据特征、评估指标。
落地价值：掌握两类回归算法，能更好地推动推荐、广告、风控等关键场景的 AI 产品设计。

📌 一句话总结
作为 AI 产品经理，要把业务问题拆解成 “多少” 与 “会不会”，用线性回归和逻辑回归来承接需求，做到既懂业务又懂算法边界。

图源：刘海丰——成为 AI 产品经理",Day18 线性与逻辑回归思维导图大纲.png,https://www.xiaohongshu.com/discovery/item/68a4b189000000001b01ea1f?source=webshare&xhsshare=pc_web&xsec_token=ABBIw-3ppMQEJrZsv9ygofiWbiZxj8ewE4ABd79IbSNVE=&xsec_source=pc_share,【Day18】机器学习——线性回归与逻辑回归,
机器学习 朴素贝叶斯,学习笔记｜100 天成为AI产品经理 Day17/100,2025/08/17,小红书封面 Day17.png,"🚶 动作：梳理朴素贝叶斯核心知识点，包括三个概率、公式、关键、应用场景、优缺点及产品经理用法，整理成笔记。
🤔 思考：理解朴素贝叶斯算法逻辑，可更好推动业务落地，方便复盘以应用于工作中。

1️⃣ 基础概念要理清
- 朴素贝叶斯（NBM，Naive Bayesian Model），也可以简称NB算法。
- 原理：用已知条件推测事物本质（比如通过西瓜的大小、声音判断甜度）
- 三个核心概率：
  条件概率：事件A发生后B的概率（例：下雨后堵车的概率）
  先验概率：凭经验判断的概率（例：根据过往经验判断面试者是否优秀）
  后验概率：已知结果推测原因的概率（例：已知西瓜甜，推测是土壤好的概率）
- 贝叶斯公式：后验概率 = （条件概率×先验概率）÷ 事件本身概率

2️⃣ 朴素贝叶斯的关键
- 核心前提：所有特征相互独立（比如性别和国籍无关，身高和尺码就不独立）
- 优势：基于这个假设，计算变得简单，不需要复杂训练，对资源消耗小
- 公式理解：用下雨和堵车举例，P(堵车|下雨)=[P(下雨|堵车)×P(堵车)]÷P(下雨)，代入数据就能算出结果

3️⃣ 实际应用场景
- 适合场景：文本分类（垃圾邮件识别）、情感分析、推荐系统（和协同过滤结合）
- 案例：航班延误险预测
  用起飞地/降落地天气作为特征，通过历史数据计算概率
  当北京雪天且深圳雨天时，算得延误概率24%＞不延误7%，就能提示用户购买建议

4️⃣ 优缺点分析
- 优点：逻辑简单、开发成本低，没有算法工程师时也能推动落地
- 缺点：依赖特征独立假设，现实中很多场景不满足（比如多个特征相关时，结果会不准）

5️⃣ 产品经理怎么用？
- 项目周期紧、算力有限时优先考虑
- 处理文本类、特征独立的业务场景（比如用户评论情感分析）
- 能自己梳理条件变量，推动研发用公式实现简单预测

你们的业务里有适合用NB算法的场景吗？欢迎交流～",,https://www.xiaohongshu.com/discovery/item/68a1ed68000000001b01c229?source=webshare&xhsshare=pc_web&xsec_token=ABaZdTUn2_HyARwtpuJ1M631VQtoecYJ_vi02H6_QrV14=&xsec_source=pc_share,【Day17】机器学习——分类算法 朴素贝叶斯,
机器学习 K 近邻算法,学习笔记｜100 天成为AI产品经理 Day16/100,2025/08/16,小红书封面 Day16.png,"🚶 动作：学习KNN算法，整理其应用场景、K值影响、优缺点及产品经理视角相关内容。
🤔 思考：KNN有适用场景和局限，需理解边界以判断是否符合业务需求，对产品落地有帮助。

今天开始学习机器学习部分，作为机器学习入门级算法，搞懂它对产品落地很有帮助，整理了核心知识点：

1️⃣ 核心原理
K近邻算法（K-Nearest Neighbor），简称KNN算法。简单说就是""近朱者赤，近墨者黑""。对待测样本，看周围最近的K个已知样本属于什么类别，哪个类别多就跟着归为哪类。
比如选礼物时，参考身边多数朋友的选择，本质和KNN逻辑一样。
计算""最近""常用欧式距离，也有曼哈顿距离、余弦距离等方式。

2️⃣ 应用场景
- 招聘筛选：通过对比历史候选人数据（工作年限、薪资等），预测新候选人能否拿到offer
- 推荐系统：比如根据用户购买记录的相似度，推荐同类商品（像买了《三体》的用户，可能也喜欢《太空漫步》）

3️⃣ K值的影响
- K太小：容易过拟合，结果受单个样本影响大
- K太大：容易欠拟合，相当于看整体分布，失去预测意义
- 建议：从1开始尝试，选准确率最高的K值

4️⃣ 优缺点
✅ 优点：
- 简单易懂，无需训练，直接可用
- 处理边界不规则数据时，比线性分类器效果好

❌ 缺点：
- 只适合小数据集，数据量大时计算量惊人（可优化用kd-tree）
- 对数据质量敏感，附近有错误样本会直接影响结果
- 数据分布不均时，样本多的类别会占优势（可通过加权重改善）

5️⃣ 产品经理视角
在数据量少、特征单一的场景下很适用，团队缺算法同学时，也能推动研发快速实现。核心是理解它的适用边界，判断是否符合业务需求。

你们的业务里有适合用KNN的场景吗？欢迎交流～",,https://www.xiaohongshu.com/discovery/item/68a1eb87000000001b033294?source=webshare&xhsshare=pc_web&xsec_token=ABaZdTUn2_HyARwtpuJ1M636IbdfvowG92s5yHCoQ2Wr0=&xsec_source=pc_share,【Day16】机器学习——分类算法 K近邻算法 KNN,
AI产品经理必须要懂的算法,学习笔记｜100 天成为AI产品经理 Day15/100,2025/08/15,小红书封面 Day15.png,"🚶 动作：先有整体的概况，有助于后面对每个部分深入学习。所以禁言从整体的角度看 AI 产品经理必须要懂的算法
🤔 思考：算法分类的方式不止一种，我们也可以按照建模时候有没有标签，把它们分成有监督、无监督和半监督算法。但作为产品经理应该关注的是，如何通过技术（算法）来解决业务场景中遇到的问题。

1️⃣ 为什么要懂算法？
作为 AI 产品经理，不懂算法就像拿着地图却看不懂方向标。文中那个“预测员工离职”的案例告诉我们——即便需求表达清楚，如果对算法的能力边界没概念，沟通就容易跑偏。懂一点算法原理，不是为了取代工程师，而是为了能精准提需求、减少沟通成本、对结果有判断力。

2️⃣ 机器学习三大问题
机器学习常见的三大类应用场景：
分类（Classification）：输出离散标签。
    二分类：是/否，1/0（如预测用户是否会购买）。
    多分类：多个可能值（如婚姻状态：未婚/已婚/离异）。
回归（Regression）：输出连续值（如价格、销量预测）。
聚类（Clustering）：无监督分组（如用户画像、内容聚类）。
💡 小结：分类/回归是有监督学习，需要已知标签；聚类是无监督学习，从数据本身找模式。

3️⃣ 分类算法的思路
📍 场景：预测用户性别
数据：美妆类浏览次数、数码类浏览次数。
观察：女性更偏好美妆，男性偏好数码。
方法：找出“距离”最近的样本（KNN 思路）来推断未知用户的标签。
常用算法：
    逻辑回归（Logistic Regression）
    朴素贝叶斯（Naive Bayes）
    决策树 / 随机森林
    K 近邻（KNN）
    支持向量机（SVM）
    神经网络（NN）
PM 视角：分类适合做推荐、标签预测、风险识别等。

4️⃣ 聚类算法的思路
📍 场景：客服问题自动分组
数据：大量相似但表达不同的用户问题。
方法：衡量句子相似度（如名词重合、语义相似），将相似的放在同一组。
常用算法：
    层次聚类（Hierarchical Clustering）
    原型聚类（K-means）
    密度聚类（DBSCAN）
PM 视角：聚类适合用户细分、舆情分析、内容去重等。

5️⃣ 回归算法的思路
📍 场景：预测销量调整库存
单变量：销量 ~ 搜索次数 → 一元线性回归
多变量：销量 ~ 搜索次数 + 用户评价 + 库存 … → 多元回归
常用算法：
    线性回归（Linear Regression）
    岭回归 / Lasso 回归
    时间序列预测（ARIMA、Prophet）
PM 视角：回归适合预测趋势、价格、需求量等连续型业务指标。

6️⃣ PM 的算法思维要点
场景 → 问题类型 → 算法匹配
用户是否流失？→ 分类
下季度销量多少？→ 回归
如何做用户画像？→ 聚类
理解限制：算法有假设条件和适用场景，别期望“万能模型”。
数据准备：算法的效果很大程度取决于特征设计和数据质量。
验证与迭代：A/B 测试、交叉验证都是 PM 需要懂的协作语言。

📌 一句话总结懂算法 ≠ 写代码，而是能把业务问题翻译成机器能理解的形式，并能判断模型的可行性与方向。对于 AI 产品经理，这是必修课。",Day15 AI产品经理需要懂的算法.png,https://www.xiaohongshu.com/discovery/item/689f62d5000000001b021ae3?source=webshare&xhsshare=pc_web&xsec_token=ABP1gp1wWxl8W4Fv1r0dKYs_8oybKxvqeYvdhBBTZykyw=&xsec_source=pc_share,【Day15】AI产品经理必须要懂的算法,
AI 模型的构建过程,学习笔记｜100 天成为AI产品经理 Day14/100,2025/08/14,小红书封面 Day14.png,"🚶 动作：在进入AI算法学习前，了解AI模型的构建过程有助于从更整体的角度我们搞懂，这些算法的构建流程是什么样的。
🤔 思考：每个公司的业务场景不同，可能过程不同，但总体无异于都是今天分享的七步。

1️⃣ 背景：为什么要懂 AI 模型构建？
在传统互联网产品里，PM 可能更关注业务逻辑与交互设计。但在 AI 项目中，数据与模型的质量直接决定产品成败。文中“预测用户流失”案例提醒我们：AI PM 不能只写需求，还要能贯穿需求→数据→模型→上线→迭代的全链路思维。

2️⃣ AI 模型落地全流程
结合案例，总结 AI 项目 7 大环节👇
1.产品定义
明确业务背景、价值、目标（如流失率降低 5%）。
决定更新周期（离线/实时）、覆盖率指标。
输出需求文档。
2.技术预研
与算法沟通现有数据能否支持需求。
调整目标（如新用户缺乏数据→覆盖率降至合理值）。
3.数据准备
内部业务数据：订单、访问日志等。
跨部门数据：中台或其他业务线。
外采数据：第三方（需合规）。
PM 要主动提供业务特征（如客诉未解决的用户更易流失）。
4.模型构建（设计→特征工程→训练→验证→融合）
特征工程：解决缺失值、异常值、量纲不统一等问题。
模型训练：寻找拟合与泛化的平衡点（防止过拟合/欠拟合）。
模型验证：分类模型：准确率、召回率、F1、AUC、KS。回归模型：MSE、方差。稳定性：PSI≤0.2。
模型融合：加权平均、投票法、Bagging、Boosting。需权衡效果与成本。
5.模型宣讲与验收
确认算法选择、特征来源、样本构成。
验证测试结果是否满足业务预期。
评估指标合理性（如 AUC=0.5 基本不可用）。
6.工程开发与部署
模型序列化 → 存储 → 加载 → API 调用。
实时场景：在线 Web 服务；批处理场景：离线任务。
7.上线与持续迭代
上线后做 AB 测试验证业务提升。
监控模型表现，效果衰减时及时迭代。

3️⃣ PM 在流程中的核心价值
翻译官：把业务目标转成算法可落地的技术需求。
特征挖掘者：基于业务洞察提供可提升模型效果的特征。
质量守门员：懂核心评估指标，敢于质疑模型质量。
成本控制者：平衡模型精度、算力消耗与上线周期。

📌 一句话总结
 AI PM 不是算法专家，但必须是懂业务又懂算法边界的项目总导演，能在全流程中既守住效果，又推进落地。",Day14 AI 模型落地全流程.png,https://www.xiaohongshu.com/discovery/item/689f6154000000001b01c568?source=webshare&xhsshare=pc_web&xsec_token=ABP1gp1wWxl8W4Fv1r0dKYs7C2-wQRU6NrPbtoKyqrCmo=&xsec_source=pc_share,【Day14】AI 模型的构建过程,
Python虚拟环境与面向对象编程,学习笔记｜100 天成为AI产品经理 Day13/100,2025/08/13,小红书封面 Day13.png,"🚶 动作：学习 Python 编程的虚拟环境与面向对象编程思想，学习类、对象、实例、属性、方法等面向对象核心的概念。
🤔 思考：AI 产品经理学习 OOP 不是为了写代码，而是为了获得一种更贴合 AI 系统本质的思维方式。

对于 AI 产品经理，Python 不只是编程工具，更是沟通、验证、落地 AI 产品的桥梁。本篇聚焦两个关键主题——虚拟环境与面向对象思想，让我们能轻松理解工程师的设计逻辑。

1️⃣ 虚拟环境管理
作用：隔离项目依赖，避免版本冲突，保持环境整洁可控。
常用工具：
Miniconda：更全面，同时支持非Python 语言，适合数据科学、机器学习项目
venv：Python 自带，轻量易用
基础流程：
创建专属项目文件夹
在项目目录中初始化虚拟环境
激活环境后安装依赖
项目完成后停用环境
最佳实践：将依赖统一记录到 requirements.txt，便于团队同步环境。

2️⃣ 面向对象基础
类（Class）：抽象模板，定义事物的属性与方法
对象（Instance）：类的具体实例
实例化：每个实例在内存中是独立的，但可共享类的公共属性与方法
实例属性：可独立于类属性存在，不同对象可以有不同值
方法调用：通过“实例.方法”访问，Python 自动传递当前对象作为第一个参数

3️⃣ 构造方法与初始化
构造方法 __init__：在实例化时自动调用，用来为对象属性赋初值
优势：减少重复赋值、提升代码可维护性
适合将对象的关键信息一次性定义，避免后续遗漏

4️⃣ 一切皆对象
Python 中的字符串、列表、字典等都是类的实例
自定义类对象也可以像内置类型一样，被赋值、传递、作为函数返回值
实例对象是可变数据类型，修改属性会影响同一实例的所有引用

5️⃣ 类属性、类方法与静态方法
类属性：所有实例共享，适合存储全局统计信息
类方法：用 @classmethod 装饰，第一个参数是类对象本身，可直接访问类属性
静态方法：用 @staticmethod 装饰，无需类或实例参与，通常用于提供工具型功能

6️⃣ 面向对象的优势
封装：将数据与功能绑定，对外隐藏内部实现
继承：代码复用，子类可扩展父类功能
多态：同一接口适配不同对象类型，提升扩展性
可维护性：结构清晰、模块化，适应需求变化更轻松

🎯 总结
虚拟环境让项目依赖清晰可控，面向对象思想让产品经理能够用工程师的视角去理解系统结构。这种能力不仅能提升沟通效率，也能让你在技术方案评审、原型验证中更有底气。

PS：如需学习文档可评论或私聊免费获取，欢迎共同学习共同进步～","Day13 面向对象编程.png,Day13 虚拟环境搭建指令.png,Day13 虚拟环境的功能.png",https://www.xiaohongshu.com/discovery/item/689cb2bb000000001d025b2f?source=webshare&xhsshare=pc_web&xsec_token=ABbYOl7Q7rHBTfKOv0Ym6X-c2wg8vmB-43JQfB44cDiMM=&xsec_source=pc_share,【Day13】Python 编程——虚拟环境与面向对象思想,
Python 编程基础,学习笔记｜100 天成为AI产品经理 Day12/100,2025/08/12,小红书封面 Day12.png,"🚶 动作：学习Python 编程的基础，输出文档与思维导图。今天的笔记从整体的视角，整理了 Python 编程中最主要的模块和内容。
🤔 思考：学习 Python 更重要的是学习编程思想，这是减轻产品与研发 gap 的重要途径。

对于 AI 产品经理，Python 是连接产品构思与模型落地的“第二语言”。它不仅是开发的工具，也是验证想法、调试数据、与算法工程师沟通的桥梁。以下是今日学习内容。

1️⃣ 环境与基础
安装环境：Python 官网（python.org）
IDE 推荐：VS Code / PyCharm
核心类型：整数、浮点、字符串、布尔、列表、元组、集合、字典
类型转换：int ↔ float、str ↔ int/float、list ↔ tuple/set、dict ↔ list

2️⃣ 运算符与逻辑思维
算术运算：+ - * / // % **
比较运算：== != > < >= <=
逻辑运算：and or not
位运算：& | ^ ~ << >>
成员与身份：in / not in、is / is not

3️⃣ 控制结构与流程
条件判断：if / elif / else
循环：for（遍历）、while（条件执行）
流程控制：break / continue / pass
异常处理：try / except / else / finally

4️⃣ 函数与复用
参数类型：位置、默认、可变位置（*args）、关键字（**kwargs）、仅限位置、仅限关键字
匿名函数：lambda
闭包：保存外层函数变量
变量作用域：局部变量与全局变量（global）

5️⃣ 数据结构
列表（list）：可变有序
元组（tuple）：不可变有序
集合（set）：无序唯一
字典（dict）：键值对映射
基本操作：增、删、改、查

6️⃣ 模块化与包
模块：单个 .py 文件
包：包含 __init__.py 的目录
导入方式：import、from ... import ...、相对导入

7️⃣ 面向对象思维（OOP）
基本概念：类与对象
封装：隐藏实现细节
继承：代码复用
多态：同一接口多种实现
方法类型：实例方法 / 类方法 / 静态方法
魔法方法：__init__、__str__、__len__ 等

8️⃣ 第三方库与生态
获取途径：PyPI（pip install <库名>）
常用命令：安装、升级、卸载、查看、导出依赖
常见库：pandas、matplotlib、requests、openai

🎯 总结
AI 产品经理掌握 Python，可以在数据处理、原型验证、接口调试、模型测试等环节大幅提升效率。重点是灵活应用核心语法与常用库，实现快速验证与落地执行。","Day12 Python 基础 P2.png,Day12 Python 基础 P3.png,Day12 Python 基础 P1.png,Day12 快速学习 Python.png",https://www.xiaohongshu.com/discovery/item/689b4789000000001d034c76?source=webshare&xhsshare=pc_web&xsec_token=ABG9l2s3V5_0t5MVwyrkAz9TEQ24ZoFkcinexx8sRVFlk=&xsec_source=pc_share,【Day12】Python 编程——基础篇,
AI 产品经理通识,学习笔记｜100 天成为AI产品经理 Day11/100,2025/08/11,小红书封面 Day11.png,"🚶 动作：今天学习 AI 产品经理通识，即 AI 产品经理需要懂的内容，是一个比较概况的学习，但对自己了解 AI 产业结构有较大帮助。
🤔 思考：AI产品经理不是简单“会点AI术语”，而是要懂行业、懂技术、能落地。

1️⃣ 先想清楚：什么是AI？
人工智能（AI）就是让系统能像人类一样理性地思考和行动。
但要注意，现实中的AI大多是特定领域AI，比如搜索引擎、人脸识别、语音助手，离电影里“万能机器人”还很远。
两个必须掌握的概念：
机器学习（ML）：让机器从历史数据中找到规律，再预测未来。
深度学习（DL）：机器学习的升级版，用神经网络处理海量数据，效果好，但算力消耗大、成本高。

2️⃣ AI产业的三层结构
理解产业结构很重要，这决定了你该往哪一层去深耕：
基础层：芯片、云服务、数据服务、机器学习平台。例子：寒武纪、阿里云。
技术层：提供通用AI技术能力，如计算机视觉、语音识别、自然语言处理。例子：商汤、依图、旷视。
应用层：将AI能力嵌入具体业务场景。例子：抖音的个性化推荐、美颜，滴滴的智能派单、安全检测。
📌 结论：应用层机会最多、转型门槛低；基础层门槛高、技术壁垒强；技术层适合算法背景的人。

3️⃣ AI落地的典型行业
金融风控：用机器学习预测还款意愿与能力，提升审批效率（蚂蚁集团、京东数科）。
智能支付：人脸识别、指纹识别等技术，让支付更快（蚂蚁金服、云从科技）。
智能安防：识别人脸、车牌、行为，用于公安、交通等场景（海康威视、商汤）。
智能客服：语音识别 + 知识图谱，让客服更高效（百度、云知声）。

4️⃣ AI产品经理的三种方向
基础层：要懂硬件、芯片、嵌入式技术、算力和数据治理。适合硬件研发或底层技术背景的人。
技术层：要懂通用AI技术（ASR/TTS/CV/NLP）和接口能力。适合算法工程师或技术产品经理。
应用层：要有行业洞察力，懂AI基础知识，能与算法团队配合落地。最适合有业务经验的互联网产品经理转型。

📍 最后思考
我更适合哪一层？还差哪些技能？我的目标行业里，AI能带来怎样的业务价值？
带着这些问题学习，会让路径更清晰。",Day11 AI 产品经理通识.png,https://www.xiaohongshu.com/discovery/item/689b31e5000000001d01dd0d?source=webshare&xhsshare=pc_web&xsec_token=ABG9l2s3V5_0t5MVwyrkAz9Z0trgdHFSpQBiGLybQQgVE=&xsec_source=pc_share,【Day11】AI 基础导论——AI 产品经理通识,
